year,county,oshpd_id,surgery,#_of_cases,hospital
2013,alameda,106010735,colon,3,alameda hospital
2013,alameda,106010735,breast,2,alameda hospital
2013,alameda,106010735,stomach,1,alameda hospital
2014,alameda,106010735,rectum,1,alameda hospital
2014,alameda,106010735,breast,3,alameda hospital
2014,alameda,106010735,colon,2,alameda hospital
2015,alameda,106010735,breast,3,alameda hospital
2015,alameda,106010735,rectum,1,alameda hospital
2015,alameda,106010735,colon,4,alameda hospital
2016,alameda,106010735,rectum,2,alameda hospital
2016,alameda,106010735,breast,2,alameda hospital
2016,alameda,106010735,colon,4,alameda hospital
2017,alameda,106010735,colon,1,alameda hospital
2017,alameda,106010735,breast,2,alameda hospital
2017,alameda,106010735,rectum,2,alameda hospital
2018,alameda,106010735,breast,2,alameda hospital
2018,alameda,106010735,colon,3,alameda hospital
2018,alameda,106010735,stomach,1,alameda hospital
2019,alameda,106010735,colon,2,alameda hospital
2020,alameda,106010735,rectum,1,alameda hospital
2020,alameda,106010735,prostate,1,alameda hospital
2021,alameda,106010735,colon,3,alameda hospital
2021,alameda,106010735,rectum,1,alameda hospital
2021,alameda,106010735,bladder,1,alameda hospital
2021,alameda,106010735,liver,1,alameda hospital
2022,alameda,106010735,colon,2,alameda hospital
2023,alameda,106010735,colon,2,alameda hospital
2023,alameda,106010735,prostate,1,alameda hospital
2013,alameda,106010937,prostate,19,alta bates summit medical center
2013,alameda,106010937,colon,43,alta bates summit medical center
2013,alameda,106010937,breast,208,alta bates summit medical center
2013,alameda,106010937,rectum,14,alta bates summit medical center
2013,alameda,106010937,esophagus,2,alta bates summit medical center
2013,alameda,106010937,pancreas,10,alta bates summit medical center
2013,alameda,106010937,stomach,11,alta bates summit medical center
2013,alameda,106010937,liver,7,alta bates summit medical center
2013,alameda,106010937,lung,22,alta bates summit medical center
2014,alameda,106010937,breast,311,alta bates summit medical center
2014,alameda,106010937,pancreas,6,alta bates summit medical center
2014,alameda,106010937,prostate,24,alta bates summit medical center
2014,alameda,106010937,liver,7,alta bates summit medical center
2014,alameda,106010937,lung,15,alta bates summit medical center
2014,alameda,106010937,rectum,13,alta bates summit medical center
2014,alameda,106010937,colon,60,alta bates summit medical center
2014,alameda,106010937,stomach,9,alta bates summit medical center
2015,alameda,106010937,lung,12,alta bates summit medical center
2015,alameda,106010937,prostate,15,alta bates summit medical center
2015,alameda,106010937,breast,215,alta bates summit medical center
2015,alameda,106010937,liver,9,alta bates summit medical center
2015,alameda,106010937,colon,49,alta bates summit medical center
2015,alameda,106010937,pancreas,2,alta bates summit medical center
2015,alameda,106010937,esophagus,1,alta bates summit medical center
2015,alameda,106010937,rectum,7,alta bates summit medical center
2015,alameda,106010937,stomach,9,alta bates summit medical center
2016,alameda,106010937,pancreas,6,alta bates summit medical center
2016,alameda,106010937,breast,292,alta bates summit medical center
2016,alameda,106010937,colon,88,alta bates summit medical center
2016,alameda,106010937,bladder,2,alta bates summit medical center
2016,alameda,106010937,liver,13,alta bates summit medical center
2016,alameda,106010937,prostate,11,alta bates summit medical center
2016,alameda,106010937,esophagus,2,alta bates summit medical center
2016,alameda,106010937,stomach,17,alta bates summit medical center
