Year,County,OSHPDID,Surgery,# of Cases,LONGITUDE,LATITUDE,hospital
2016,,,Brain,3162,,,Statewide
2015,,,Brain,2111,,,Statewide
2013,,,Colon,7128,,,Statewide
2015,,,Bladder,677,,,Statewide
2016,,,Prostate,6508,,,Statewide
2019,,,Breast,30413,,,Statewide
2015,,,Rectum,1698,,,Statewide
2018,,,Pancreas,1089,,,Statewide
2015,,,Stomach,744,,,Statewide
2016,,,Liver,1662,,,Statewide
2017,,,Pancreas,1097,,,Statewide
2021,,,Bladder,965,,,Statewide
2014,,,Liver,1298,,,Statewide
2015,,,Esophagus,264,,,Statewide
2013,,,Stomach,1010,,,Statewide
2014,,,Esophagus,354,,,Statewide
2017,,,Lung,3159,,,Statewide
2017,,,Breast,28164,,,Statewide
2018,,,Prostate,5332,,,Statewide
2019,,,Esophagus,507,,,Statewide
2016,,,Bladder,1054,,,Statewide
2014,,,Rectum,2239,,,Statewide
2021,,,Stomach,998,,,Statewide
2016,,,Esophagus,410,,,Statewide
2013,,,Liver,1159,,,Statewide
2015,,,Prostate,4474,,,Statewide
2021,,,Lung,3119,,,Statewide
2015,,,Liver,952,,,Statewide
2018,,,Colon,7640,,,Statewide
2019,,,Rectum,3361,,,Statewide
2019,,,Stomach,1059,,,Statewide
2016,,,Pancreas,1069,,,Statewide
2016,,,Rectum,3300,,,Statewide
2021,,,Breast,30675,,,Statewide
2013,,,Lung,3145,,,Statewide
2017,,,Rectum,3284,,,Statewide
2021,,,Pancreas,1072,,,Statewide
2021,,,Brain,3413,,,Statewide
2020,,,Prostate,3662,,,Statewide
2021,,,Prostate,3268,,,Statewide
2016,,,Lung,3028,,,Statewide
2019,,,Brain,3399,,,Statewide
2020,,,Breast,26758,,,Statewide
2017,,,Brain,3268,,,Statewide
2014,,,Bladder,897,,,Statewide
2018,,,Stomach,969,,,Statewide
2013,,,Breast,25829,,,Statewide
2020,,,Brain,3313,,,Statewide
2019,,,Lung,3317,,,Statewide
2015,,,Colon,5456,,,Statewide
2014,,,Pancreas,877,,,Statewide
2013,,,Brain,2719,,,Statewide
2018,,,Rectum,3323,,,Statewide
2014,,,Colon,7335,,,Statewide
2015,,,Lung,2508,,,Statewide
2018,,,Esophagus,430,,,Statewide
2018,,,Bladder,938,,,Statewide
2019,,,Colon,7409,,,Statewide
2014,,,Brain,2858,,,Statewide
2013,,,Prostate,6145,,,Statewide
2021,,,Rectum,3338,,,Statewide
2017,,,Bladder,1037,,,Statewide
2019,,,Bladder,966,,,Statewide
2019,,,Prostate,4997,,,Statewide
2016,,,Stomach,980,,,Statewide
2018,,,Liver,1616,,,Statewide
2020,,,Colon,6736,,,Statewide
2015,,,Pancreas,656,,,Statewide
2014,,,Lung,3269,,,Statewide
2015,,,Breast,19914,,,Statewide
2020,,,Bladder,938,,,Statewide
2016,,,Breast,27495,,,Statewide
2014,,,Prostate,5434,,,Statewide
2021,,,Esophagus,451,,,Statewide
2016,,,Colon,7623,,,Statewide
2013,,,Rectum,2128,,,Statewide
2021,,,Colon,7440,,,Statewide
2017,,,Stomach,948,,,Statewide
2020,,,Rectum,3168,,,Statewide
2017,,,Colon,7525,,,Statewide
2018,,,Breast,29349,,,Statewide
2020,,,Esophagus,481,,,Statewide
2020,,,Pancreas,1092,,,Statewide
2017,,,Liver,1587,,,Statewide
