Year,County,Hospital,Hospital ID,Performance Measure,Statewide All PCI Cases,Statewide Elective PCIs ,Statewide Adverse Events,Statewide ObservedAdverse Events Rate (%),Hospital Total PCI Cases,Hospital All/Elective PCI Cases,Hospital Elective PCI Cases,Hospital Primary PCI Cases, Hospital Adverse Events,Hospital ObservedAdverse Events Rate (%), Hospital Expected Adverse Events Rate (%),"Hospital Risk-Adjusted Adverse Events Rate (%, RAAER)",Latitude,Longitude
2022,Ventura,Adventist Health Simi Valley,106560525,Elective PCI Mortality,"50,888","19,272",50,0.26,244,73,73,171,0,0,0.19,0,34.28973,-118.74394
2022,Ventura,Adventist Health Simi Valley,106560525,Elective PCI Stroke,"50,888","19,272",23,0.12,244,73,73,171,0,0,0.1,0,34.28973,-118.74394
2022,Ventura,Adventist Health Simi Valley,106560525,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,244,73,73,171,0,N/A,N/A,N/A,34.28973,-118.74394
2022,Ventura,Adventist Health Simi Valley,106560525,All PCI Mortality,"50,888","19,272","1,324",2.6,244,244,73,171,8,3.28,2.31,3.69,34.28973,-118.74394
2022,Ventura,Adventist Health Simi Valley,106560525,All PCI Stroke,"50,888","19,272",238,0.47,244,244,73,171,2,0.82,0.45,0.85,34.28973,-118.74394
2022,Ventura,Adventist Health Simi Valley,106560525,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,244,244,73,171,0,N/A,N/A,N/A,34.28973,-118.74394
2022,Fresno,Clovis Community Medical Center,106100005,Elective PCI Mortality,"50,888","19,272",50,0.26,322,166,166,156,1,0.6,0.19,0.81,36.83745,-119.66072
2022,Fresno,Clovis Community Medical Center,106100005,Elective PCI Stroke,"50,888","19,272",23,0.12,322,166,166,156,0,0,0.13,0,36.83745,-119.66072
2022,Fresno,Clovis Community Medical Center,106100005,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,322,166,166,156,1,N/A,N/A,N/A,36.83745,-119.66072
2022,Fresno,Clovis Community Medical Center,106100005,All PCI Mortality,"50,888","19,272","1,324",2.6,322,322,166,156,8,2.48,2.52,2.56,36.83745,-119.66072
2022,Fresno,Clovis Community Medical Center,106100005,All PCI Stroke,"50,888","19,272",238,0.47,322,322,166,156,1,0.31,0.47,0.31,36.83745,-119.66072
2022,Fresno,Clovis Community Medical Center,106100005,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,322,322,166,156,2,N/A,N/A,N/A,36.83745,-119.66072
