year,oshpd_id,county,hospital,performance_measure,hospital_rating,#_of_cases,#_of_adverse_events,risk_adjusted_rate
2016,,aaa,statewide,cabg + valve operative mortality,,,210.0,
2016,,aaa,statewide,post-operative stroke,,,380.0,
2017,,aaa,statewide,cabg operative mortality,,,290.0,
2016,106010937,alameda,alta bates summit medical center,cabg + valve operative mortality,average,29.0,1.0,2.58
2016,106010937,alameda,alta bates summit medical center,post-operative stroke,average,262.0,4.0,1.55
2017,106010937,alameda,alta bates summit medical center,cabg + valve operative mortality,average,30.0,0.0,0.0
2017,106010937,alameda,alta bates summit medical center,cabg 30-day readmission,average,255.0,25.0,9.78
2017,106010937,alameda,alta bates summit medical center,cabg operative mortality,average,144.0,2.0,1.65
2017,106010937,alameda,alta bates summit medical center,post-operative stroke,average,287.0,3.0,0.96
2018,106010937,alameda,alta bates summit medical center,cabg operative mortality,average,143.0,2.0,1.37
2018,106010937,alameda,alta bates summit medical center,cabg+valve operative mortality,average,343.0,1.0,2.47
2018,106010937,alameda,alta bates summit medical center,isolated cabg 30-day readmission,average,343.0,26.0,9.33
2018,106010937,alameda,alta bates summit medical center,isolated cabg post-operative stroke,average,343.0,3.0,0.83
2019,106010937,alameda,alta bates summit medical center,cabg+valve operative mortality,average,330.0,1.0,1.96
2019,106010937,alameda,alta bates summit medical center,isolated cabg 30-day readmission,average,330.0,20.0,8.16
2019,106010937,alameda,alta bates summit medical center,isolated cabg operative mortality,average,183.0,2.0,1.12
2019,106010937,alameda,alta bates summit medical center,isolated cabg post-operative stroke,average,330.0,3.0,0.91
2020,106010937,alameda,alta bates summit medical center,isolated cabg operative mortality,average,147.0,3.0,2.12
2021,106010937,alameda,alta bates summit medical center,cabg+valve operative mortality,average,321.0,6.0,8.31
2021,106010937,alameda,alta bates summit medical center,isolated cabg 30-day readmission,better,321.0,12.0,4.95
2021,106010937,alameda,alta bates summit medical center,isolated cabg post-operative stroke,average,321.0,7.0,2.28
2022,106010937,alameda,alta bates summit medical center,isolated cabg operative mortality,average,151.0,4.0,2.26
2014,106010937,alameda,alta bates summit medical center - summit campus,30-day readmission,average,199.0,23.0,11.05
2014,106010937,alameda,alta bates summit medical center - summit campus,cabg + valve operative mortality,average,39.0,2.0,3.91
2014,106010937,alameda,alta bates summit medical center - summit campus,post-operative stroke,average,223.0,0.0,0.0
2015,106010937,alameda,alta bates summit medical center - summit campus,cabg + valve operative mortality,average,31.0,1.0,1.95
2015,106010937,alameda,alta bates summit medical center - summit campus,cabg 30-day readmission,average,197.0,22.0,10.39
2015,106010937,alameda,alta bates summit medical center - summit campus,cabg operative mortality,average,108.0,3.0,2.23
2015,106010937,alameda,alta bates summit medical center - summit campus,post-operative stroke,average,226.0,2.0,0.86
2016,106010937,alameda,alta bates summit medical center - summit campus,cabg operative mortality,average,118.0,1.0,0.84
2011,106010937,alameda,alta bates summit medical center - summit campus - hawthorne,post-operative stroke,average,242.0,3.0,1.01
2012,106010937,alameda,alta bates summit medical center - summit campus - hawthorne,30-day readmission,average,92.0,16.0,16.53
2012,106010937,alameda,alta bates summit medical center - summit campus - hawthorne,operative mortality,average,112.0,3.0,2.37
2013,106010937,alameda,alta bates summit medical center - summit campus - hawthorne,30-day readmission,average,107.0,17.0,15.5
2013,106010937,alameda,alta bates summit medical center - summit campus - hawthorne,cabg + valve operative mortality,average,65.0,4.0,5.21
2013,106010937,alameda,alta bates summit medical center - summit campus - hawthorne,cabg operative mortality,average,121.0,2.0,1.76
2013,106010937,alameda,alta bates summit medical center - summit campus - hawthorne,post-operative stroke,average,233.0,2.0,0.78
2013,106010937,alameda,alta bates summit medical center  summit campus  hawthorne,cabg + valve operative mortality,average,56.0,6.0,9.66
2013,106010937,alameda,alta bates summit medical center  summit campus  hawthorne,post-operative stroke,average,236.0,0.0,0.0
2014,106010937,alameda,alta bates summit medical center  summit campus  hawthorne,cabg operative mortality,average,115.0,0.0,0.0
2017,10601405,alameda,stanford health care - valleycare,cabg + valve operative mortality,average,7.0,0.0,0.0
2017,10601405,alameda,stanford health care - valleycare,cabg 30-day readmission,average,63.0,5.0,7.8
2017,10601405,alameda,stanford health care - valleycare,post-operative stroke,average,68.0,3.0,4.72
2018,10601405,alameda,stanford health care - valleycare,cabg operative mortality,average,34.0,0.0,0.0
2018,10601405,alameda,stanford health care - valleycare,cabg+valve operative mortality,average,76.0,0.0,0.0
2018,10601405,alameda,stanford health care - valleycare,isolated cabg 30-day readmission,average,76.0,4.0,6.8
2018,10601405,alameda,stanford health care - valleycare,isolated cabg post-operative stroke,average,76.0,1.0,1.59
2019,10601405,alameda,stanford health care - valleycare,cabg+valve operative mortality,average,92.0,0.0,0.0
2019,10601405,alameda,stanford health care - valleycare,isolated cabg 30-day readmission,average,92.0,4.0,6.07
2019,10601405,alameda,stanford health care - valleycare,isolated cabg operative mortality,average,38.0,1.0,3.4
2019,10601405,alameda,stanford health care - valleycare,isolated cabg post-operative stroke,average,92.0,1.0,1.27
2020,10601405,alameda,stanford health care - valleycare,isolated cabg operative mortality,average,54.0,0.0,0.0
2021,10601405,alameda,stanford health care tri-valley,cabg+valve operative mortality,average,173.0,3.0,12.93
2021,10601405,alameda,stanford health care tri-valley,isolated cabg 30-day readmission,average,173.0,11.0,12.83
2021,10601405,alameda,stanford health care tri-valley,isolated cabg post-operative stroke,average,173.0,2.0,1.74
2022,10601405,alameda,stanford health care tri-valley,isolated cabg operative mortality,average,94.0,1.0,1.53
2011,10601405,alameda,valleycare medical center,post-operative stroke,average,72.0,0.0,0.0
2012,10601405,alameda,valleycare medical center,30-day readmission,average,34.0,2.0,5.69
2012,10601405,alameda,valleycare medical center,operative mortality,average,38.0,0.0,0.0
2013,10601405,alameda,valleycare medical center,30-day readmission,average,18.0,2.0,9.43
2013,10601405,alameda,valleycare medical center,cabg + valve operative mortality,average,13.0,1.0,6.31
2013,10601405,alameda,valleycare medical center,cabg operative mortality,average,23.0,0.0,0.0
2013,10601405,alameda,valleycare medical center,post-operative stroke,average,48.0,0.0,0.0
2014,10601405,alameda,valleycare medical center,30-day readmission,average,39.0,5.0,13.12
2014,10601405,alameda,valleycare medical center,cabg + valve operative mortality,average,12.0,0.0,0.0
2014,10601405,alameda,valleycare medical center,cabg operative mortality,average,25.0,0.0,0.0
2014,10601405,alameda,valleycare medical center,post-operative stroke,average,42.0,1.0,2.5
2015,10601405,alameda,valleycare medical center,cabg + valve operative mortality,average,9.0,0.0,0.0
2015,10601405,alameda,valleycare medical center,cabg 30-day readmission,average,51.0,6.0,12.81
2015,10601405,alameda,valleycare medical center,cabg operative mortality,average,17.0,1.0,5.79
2015,10601405,alameda,valleycare medical center,post-operative stroke,average,55.0,2.0,3.91
2016,10601405,alameda,valleycare medical center,cabg + valve operative mortality,average,4.0,0.0,0.0
2016,10601405,alameda,valleycare medical center,cabg operative mortality,average,38.0,2.0,6.27
2016,10601405,alameda,valleycare medical center,post-operative stroke,average,72.0,4.0,5.33
2017,10601405,alameda,valleycare medical center,cabg operative mortality,average,34.0,0.0,0.0
2011,106010987,alameda,washington hospital - fremont,post-operative stroke,average,166.0,2.0,0.95
2012,106010987,alameda,washington hospital - fremont,30-day readmission,average,65.0,9.0,13.04
2012,106010987,alameda,washington hospital - fremont,operative mortality,average,77.0,1.0,1.05
2013,106010987,alameda,washington hospital - fremont,30-day readmission,average,93.0,12.0,11.98
2013,106010987,alameda,washington hospital - fremont,cabg + valve operative mortality,average,11.0,3.0,22.93
2013,106010987,alameda,washington hospital - fremont,cabg operative mortality,average,112.0,3.0,2.3
2013,106010987,alameda,washington hospital - fremont,post-operative stroke,average,189.0,5.0,2.28
2014,106010987,alameda,washington hospital - fremont,30-day readmission,average,141.0,18.0,13.01
2014,106010987,alameda,washington hospital - fremont,cabg + valve operative mortality,average,15.0,1.0,5.74
2014,106010987,alameda,washington hospital - fremont,post-operative stroke,average,165.0,0.0,0.0
2015,106010987,alameda,washington hospital - fremont,cabg + valve operative mortality,average,11.0,1.0,10.36
2015,106010987,alameda,washington hospital - fremont,cabg 30-day readmission,average,145.0,16.0,11.25
2015,106010987,alameda,washington hospital - fremont,cabg operative mortality,average,79.0,0.0,0.0
2015,106010987,alameda,washington hospital - fremont,post-operative stroke,average,174.0,0.0,0.0
2016,106010987,alameda,washington hospital - fremont,cabg + valve operative mortality,average,10.0,1.0,9.74
2016,106010987,alameda,washington hospital - fremont,cabg operative mortality,average,94.0,1.0,1.34
2016,106010987,alameda,washington hospital - fremont,post-operative stroke,average,188.0,1.0,0.58
2017,106010987,alameda,washington hospital - fremont,cabg + valve operative mortality,average,14.0,0.0,0.0
2017,106010987,alameda,washington hospital - fremont,cabg 30-day readmission,average,134.0,12.0,9.55
