Year,County,OSHPDID,Hospital Name,Postoperative Sepsis Cases,Elective Surgical Discharges,Risk-adjusted Postoperative Sepsis Rate,Risk-adjusted Performance Rating,Latitude,Longitude
2019,STATEWIDE,n/a,n/a,1328,299027,0.44,n/a,n/a,n/a
2019,Alameda,106010735,Alameda Hospital,0,84,0,Average,37.76266,-122.253991
2019,Alameda,106010739,Alta Bates Summit Medical Center – Alta Bates Campus,3,733,0.65,Average,37.85645,-122.25743
2019,Alameda,106010846,Highland Hospital,0,77,0,Average,37.79925,-122.23138
2019,Alameda,106010937,Alta Bates Summit Medical Center,16,1464,1.01,Below Average,37.82106,-122.26257
2019,Alameda,106010967,Saint Rose Hospital,0,388,0,Average,37.63291,-122.08962
2019,Alameda,106010987,Washington Hospital – Fremont,1,1440,0.14,Average,37.55847,-121.98006
2019,Alameda,106013619,San Leandro Hospital,1,72,0.88,Average,37.71364,-122.14067
2019,Alameda,106014050,Stanford Health Care – ValleyCare,4,879,0.67,Average,37.69206,-121.88095
2019,Alameda,106014132,Kaiser Foundation Hospital – Fremont,2,480,0.38,Average,37.55055,-121.97483
2019,Alameda,106014233,Eden Medical Center,1,488,0.32,Average,37.6983769,-122.0874055
2019,Alameda,106014326,Kaiser Foundation Hospital – Oakland/Richmond,12,3061,0.21,Above Average,37.82402,-122.25791
2019,Alameda,106014337,Kaiser Foundation Hospital – San Leandro,6,1313,0.57,Average,37.70611,-122.16917
2019,Amador,106034002,Sutter Amador Hospital,2,90,1.56,Average,38.34743,-120.77272
2019,Butte,106040802,Orchard Hospital,0,3,0,Average,39.36701,-121.68955
2019,Butte,106040937,Oroville Hospital,8,526,0.55,Average,39.50485,-121.5428
2019,Butte,106040962,Enloe Medical Center – Esplanade,3,1838,0.26,Average,39.74226,-121.84918
2019,Calaveras,106050932,Mark Twain Medical Center,0,63,0,Average,38.19057,-120.67095
2019,Contra Costa,106070924,Contra Costa Regional Medical Center,0,255,0,Average,38.00646,-122.13101
2019,Contra Costa,106070934,Sutter Delta Medical Center,1,116,0.83,Average,37.98222,-121.8054
2019,Contra Costa,106070988,John Muir Medical Center – Walnut Creek Campus,8,2390,0.43,Average,37.91304,-122.040781
2019,Contra Costa,106070990,Kaiser Foundation Hospital – Walnut Creek,5,445,0.43,Average,37.8923,-122.05828
2019,Contra Costa,106071018,John Muir Medical Center – Concord Campus,10,1726,0.61,Average,37.98615,-122.03874
2019,Contra Costa,106074017,San Ramon Regional Medical Center,1,633,0.19,Average,37.77549,-121.95884
2019,Contra Costa,106074097,Kaiser Foundation Hospital – Antioch,3,835,0.5,Average,37.951975,-121.776854
2019,Del Norte,106084001,Sutter Coast Hospital,0,59,0,Average,41.77278,-124.19514
2019,El Dorado,106090793,Barton Memorial Hospital,1,269,0.81,Average,38.91228,-119.99758
2019,El Dorado,106090933,Marshall Medical Center,1,385,0.32,Average,38.72556,-120.79092
2019,Fresno,106100005,Clovis Community Medical Center,3,1269,0.31,Average,36.83745,-119.66072
2019,Fresno,106100717,Community Regional Medical Center – Fresno,21,3450,0.58,Average,36.74252,-119.784071
2019,Fresno,106100797,Adventist Health Reedley,0,26,0,Average,36.60789,-119.45145
2019,Fresno,106100899,Saint Agnes Medical Center,3,2232,0.16,Average,36.8370782,-119.7649963
2019,Fresno,106104047,Fresno Surgical Hospital,0,1743,0,Average,36.82531,-119.78155
2019,Fresno,106104062,Kaiser Foundation Hospital – Fresno,3,651,0.49,Average,36.84246,-119.7832
2019,Humboldt,106121002,Mad River Community Hospital,0,68,0,Average,40.90351,-124.09038
2019,Humboldt,106121051,Redwood Memorial Hospital,0,38,0,Average,40.58267,-124.13549
2019,Humboldt,106121080,Saint Joseph Hospital – Eureka,3,667,0.42,Average,40.7832,-124.14216
2019,Imperial,106130699,El Centro Regional Medical Center,1,176,1.03,Average,32.78138,-115.49824
2019,Imperial,106130760,Pioneers Memorial Healthcare District,1,128,1.19,Average,32.96003,-115.55183
2019,Inyo,106141273,Northern Inyo Hospital,0,52,0,Average,37.36207,-118.40756
2019,Kern,106150706,Delano Regional Medical Center,0,98,0,Average,35.76143,-119.23706
2019,Kern,106150722,Bakersfield Memorial Hospital,7,1530,0.65,Average,35.39051,-119.00658
2019,Kern,106150736,Kern Medical Center,0,454,0,Average,35.380833,-118.967222
2019,Kern,106150737,Kern Valley Healthcare District,0,3,0,Average,35.63486,-118.40509
2019,Kern,106150761,Mercy Hospital – Bakersfield,2,943,0.35,Average,35.37323,-119.02715
2019,Kern,106150775,Good Samaritan Hospital – Bakersfield,0,7,0,Average,35.41216,-119.03913
2019,Kern,106150782,Ridgecrest Regional Hospital,0,67,0,Average,35.6404,-117.66996
2019,Kern,106150788,Adventist Health Bakersfield,6,1570,0.58,Average,35.383064,-119.018775
2019,Kern,106154101,Bakersfield Heart Hospital,1,149,0.39,Average,35.38619,-119.04314
2019,Kings,106164029,Adventist Health Hanford,2,892,0.46,Average,36.3256247,-119.6683912
2019,Lake,106171049,Adventist Health Clearlake,0,10,0,Average,38.93619,-122.6202
2019,Lake,106171395,Sutter Lakeside Hospital,3,59,3.19,Below Average,39.10232,-122.91003
2019,Lassen,106184008,Banner Lassen Medical Center,0,12,0,Average,40.42306,-120.64609
2019,Los Angeles,106190017,Alhambra Hospital Medical Center,1,76,1.12,Average,34.08988,-118.1449
2019,Los Angeles,106190034,Antelope Valley Hospital,2,759,0.38,Average,34.6878,-118.157981
2019,Los Angeles,106190053,Saint Mary Medical Center – Long Beach,3,753,0.71,Average,33.7802376,-118.1866412
2019,Los Angeles,106190081,Beverly Hospital,2,471,0.49,Average,34.01614,-118.10132
2019,Los Angeles,106190110,Southern California Hospital at Culver City,4,544,1.09,Average,34.0231953,-118.3969429
2019,Los Angeles,106190125,California Hospital Medical Center – Los Angeles,4,576,0.87,Average,34.03721,-118.26551
2019,Los Angeles,106190137,Casa Colina Hospital,0,491,0,Average,34.096265,-117.745655
2019,Los Angeles,106190148,Centinela Hospital Medical Center,0,239,0,Average,33.94917,-118.34788
2019,Los Angeles,106190176,City of Hope Helford Clinical Research Hospital,23,1360,0.78,Below Average,34.13219,-117.97356
2019,Los Angeles,106190197,Community and Mission Hospital of Huntington Park – Slauson,0,10,0,Average,33.98929,-118.22466
2019,Los Angeles,106190198,Los Angeles Community Hospital,0,28,0,Average,34.01897,-118.1875
2019,Los Angeles,106190200,San Gabriel Valley Medical Center,4,742,0.9,Average,34.1024,-118.10503
2019,Los Angeles,106190240,Lakewood Regional Medical Center,0,444,0,Average,33.859731,-118.1492012
2019,Los Angeles,106190243,PIH Health Hospital – Downey,0,426,0,Average,33.93515,-118.13196
2019,Los Angeles,106190256,East Los Angeles Doctors Hospital,0,26,0,Average,34.02383,-118.18377
2019,Los Angeles,106190280,Encino Hospital Medical Center,0,9,0,Average,34.15686,-118.48662
2019,Los Angeles,106190298,Emanate Health Foothill Presbyterian Hospital,3,321,0.57,Average,34.13384,-117.87244
2019,Los Angeles,106190315,Garfield Medical Center,4,700,0.62,Average,34.06826,-118.12302
2019,Los Angeles,106190323,Adventist Health Glendale,4,1488,0.35,Average,34.14951,-118.23109
2019,Los Angeles,106190352,Greater El Monte Community Hospital,0,5,0,Average,34.04827,-118.04257
2019,Los Angeles,106190380,Southern California Hospital at Hollywood,1,13,4.04,Average,34.09628,-118.32501
2019,Los Angeles,106190382,Hollywood Presbyterian Medical Center,3,572,0.35,Average,34.09557,-118.29163
2019,Los Angeles,106190385,Providence Holy Cross Medical Center,17,1838,0.79,Below Average,34.2791,-118.45951
2019,Los Angeles,106190392,Good Samaritan Hospital – Los Angeles,7,993,0.63,Average,34.05324,-118.26522
2019,Los Angeles,106190400,Huntington Memorial Hospital,9,3722,0.29,Average,34.13565,-118.1518
2019,Los Angeles,106190413,Emanate Health Inter - Community Hospital,4,645,0.62,Average,34.08993,-117.89264
2019,Los Angeles,106190422,Torrance Memorial Medical Center,12,3208,0.5,Average,33.8119157,-118.3434945
