year,county,system,hospital,oshpd_id,performance_measure,#_of_cases,#_of_adverse_events,risk_adjusted_rate,hospital_rating
2022,alameda,sutter health,alta bates summit medical center,106010937,tavr in-hospital/30-day mortality,81,1,1.35,average
2022,alameda,sutter health,alta bates summit medical center,106010937,tavr in-hospital/30-day stroke,81,0,0.0,average
2022,alameda,independent/other,stanford health care tri-valley,10601405,tavr in-hospital/30-day mortality,16,0,0.0,average
2022,alameda,independent/other,stanford health care tri-valley,10601405,tavr in-hospital/30-day stroke,16,1,7.25,average
2022,alameda,independent/other,washington hospital  fremont,106010987,tavr in-hospital/30-day mortality,27,0,0.0,average
2022,alameda,independent/other,washington hospital  fremont,106010987,tavr in-hospital/30-day stroke,27,1,5.37,average
2022,butte,independent/other,enloe medical center esplanade,106040962,tavr in-hospital/30-day mortality,105,1,1.65,average
2022,butte,independent/other,enloe medical center esplanade,106040962,tavr in-hospital/30-day stroke,105,3,3.79,average
2022,contra costa,john muir health,john muir medical center  concord campus,106071018,tavr in-hospital/30-day mortality,119,1,0.79,average
2022,contra costa,john muir health,john muir medical center  concord campus,106071018,tavr in-hospital/30-day stroke,119,2,1.52,average
2022,fresno,independent/other,fresno heart and surgical hospital,106105029,tavr in-hospital/30-day mortality,120,4,3.54,average
2022,fresno,independent/other,fresno heart and surgical hospital,106105029,tavr in-hospital/30-day stroke,120,4,3.35,average
2022,fresno,independent/other,saint agnes medical center,106100899,tavr in-hospital/30-day mortality,143,1,0.54,average
2022,fresno,independent/other,saint agnes medical center,106100899,tavr in-hospital/30-day stroke,143,1,0.69,average
2022,kern,independent/other,bakersfield heart hospital,106154101,tavr in-hospital/30-day mortality,7,0,0.0,average
2022,kern,independent/other,bakersfield heart hospital,106154101,tavr in-hospital/30-day stroke,7,0,0.0,average
2022,kern,dignity health,bakersfield memorial hospital,106150722,tavr in-hospital/30-day mortality,98,0,0.0,average
2022,kern,dignity health,bakersfield memorial hospital,106150722,tavr in-hospital/30-day stroke,98,0,0.0,average
2022,los angeles,adventist health systems,adventist health glendale,106190323,tavr in-hospital/30-day mortality,95,1,1.4,average
2022,los angeles,adventist health systems,adventist health glendale,106190323,tavr in-hospital/30-day stroke,95,0,0.0,average
2022,los angeles,adventist health systems,adventist health white memorial,106190878,tavr in-hospital/30-day mortality,32,1,4.63,average
2022,los angeles,adventist health systems,adventist health white memorial,106190878,tavr in-hospital/30-day stroke,32,0,0.0,average
2022,los angeles,independent/other,antelope valley hospital,106190034,tavr in-hospital/30-day mortality,44,2,2.5,average
2022,los angeles,independent/other,antelope valley hospital,106190034,tavr in-hospital/30-day stroke,44,1,2.81,average
2022,los angeles,cedars-sinai health system,cedars  sinai medical center,106190555,tavr in-hospital/30-day mortality,610,15,2.2,average
2022,los angeles,cedars-sinai health system,cedars  sinai medical center,106190555,tavr in-hospital/30-day stroke,610,12,1.83,average
2022,los angeles,independent/other,emanate health inter  community hospital,106190413,tavr in-hospital/30-day mortality,52,1,2.79,average
2022,los angeles,independent/other,emanate health inter  community hospital,106190413,tavr in-hospital/30-day stroke,52,1,2.52,average
2022,los angeles,"ahmc healthcare, inc.",garfield medical center,106190315,tavr in-hospital/30-day mortality,9,0,0.0,average
2022,los angeles,"ahmc healthcare, inc.",garfield medical center,106190315,tavr in-hospital/30-day stroke,9,0,0.0,average
2022,los angeles,independent/other,henry mayo newhall hospital,106190949,tavr in-hospital/30-day mortality,37,0,0.0,average
2022,los angeles,independent/other,henry mayo newhall hospital,106190949,tavr in-hospital/30-day stroke,37,1,2.87,average
2022,los angeles,independent/other,huntington hospital,1061904,tavr in-hospital/30-day mortality,103,4,1.96,average
2022,los angeles,independent/other,huntington hospital,1061904,tavr in-hospital/30-day stroke,103,0,0.0,average
2022,los angeles,university of southern california,keck hospital of usc,106194219,tavr in-hospital/30-day mortality,84,3,2.77,average
2022,los angeles,university of southern california,keck hospital of usc,106194219,tavr in-hospital/30-day stroke,84,1,1.48,average
