YEAR,COUNTY,HOSPITAL,OSHPDID,Procedure,Volume,Longitude,Latitude
2016,STATEWIDE,STATEWIDE,,"AAA Repair (Ruptured, Open)",122,.,.
2016,STATEWIDE,STATEWIDE,,Carotid Endarterectomy,4912,.,.
2016,STATEWIDE,STATEWIDE,,"AAA Repair (Un-ruptured, Open)",304,.,.
2016,STATEWIDE,STATEWIDE,,"AAA Repair (Un-ruptured, Endovascular)",2062,.,.
2016,STATEWIDE,STATEWIDE,,Esophageal Resection,634,.,.
2016,STATEWIDE,STATEWIDE,,PCI,39318,.,.
2016,STATEWIDE,STATEWIDE,,"AAA Repair (Ruptured, Endovascular)",142,.,.
2016,STATEWIDE,STATEWIDE,,AAA Repair,2630,.,.
2016,STATEWIDE,STATEWIDE,,Pancreatic Resection,1974,.,.
2016,STATEWIDE,STATEWIDE,,Pancreatic Resection (Cancer),1026,.,.
2016,STATEWIDE,STATEWIDE,,CABG,16073,.,.
2016,STATEWIDE,STATEWIDE,,Pancreatic Resection (Other),948,.,.
2016,Alameda,Alameda Hospital,106010735,Pancreatic Resection,.,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Pancreatic Resection (Cancer),.,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,"AAA Repair (Ruptured, Endovascular)",1,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,"AAA Repair (Ruptured, Open)",.,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,CABG,.,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,AAA Repair,1,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,"AAA Repair (Un-ruptured, Endovascular)",.,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Carotid Endarterectomy,2,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Pancreatic Resection (Other),.,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Esophageal Resection,.,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,"AAA Repair (Un-ruptured, Open)",.,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,PCI,.,-122.253991,37.76266
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,PCI,.,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,"AAA Repair (Un-ruptured, Open)",.,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Esophageal Resection,.,-122.25743,37.85645
